Algorithm,Time (s),Path Length (Adaptive 3D),Path Cost (Adaptive Elevation),Computing Power (OPS)
A*,0.0034,62.497,64.7454,297941.17647058825
A*,0.0031,62.497,64.7454,326774.1935483871
A*,0.0032,62.497,64.7454,316562.5
A*,0.0034,62.497,64.7454,297941.17647058825
A*,0.0031,62.497,64.7454,326774.1935483871
A*,0.0035,62.497,64.7454,289428.5714285714
A*,0.0032,62.497,64.7454,316562.5
Dijkstra,0.0027,62.497,64.7454,367407.4074074074
Dijkstra,0.0026,62.497,64.7454,381538.46153846156
Dijkstra,0.0028,62.497,64.7454,354285.71428571426
Dijkstra,0.0027,62.497,64.7454,367407.4074074074
Dijkstra,0.0027,62.497,64.7454,367407.4074074074
Dijkstra,0.0031,62.497,64.7454,320000.0
Dijkstra,0.0028,62.497,64.7454,354285.71428571426
AD*,0.0137,62.497,64.7454,60218.97810218978
AD*,0.0136,62.497,64.7454,60661.76470588236
AD*,0.014,62.497,64.7454,58928.57142857143
AD*,0.0135,62.497,64.7454,61111.11111111111
AD*,0.0167,62.497,64.7454,49401.19760479042
AD*,0.0147,62.497,64.7454,56122.44897959184
GA,0.3468,75.4418,80.1627,14417.53171856978
SA,0.1612,270.92,311.38,8275.434243176178
SA,0.1891,202.6851,222.0276,7054.4685351665785
SSA,3.7764,255.9437,290.9155,5296.049147336087
SSA,3.6913,229.7866,259.6799,5418.145368840246
A*,0.0063,64.0118,67.0178,154126.9841269841
A*,0.006,64.0118,67.0178,161833.33333333334
Dijkstra,0.0028,64.0118,67.0178,332500.0
Dijkstra,0.0025,64.0118,67.0178,372400.0
AD*,0.0133,64.0118,67.0178,60601.503759398496
AD*,0.0128,64.0118,67.0178,62968.75
AD*,0.0131,64.0118,67.0178,61526.717557251905
GA,0.0765,120.9356,132.4034,11764.70588235294
GA,0.0703,0.0,0.0,12802.275960170697
GA,0.0712,105.894,113.8409,12640.449438202248
GA,0.0694,0.0,0.0,12968.299711815562
GA,0.0711,117.5362,130.3043,12658.227848101267
GA,0.0673,0.0,0.0,13372.95690936107
GA,0.0737,124.4877,138.7315,12211.668928086838
GA,0.0717,0.0,0.0,12552.301255230126
GA,0.0722,116.5181,128.7772,12465.373961218836
GA,0.0747,0.0,0.0,12048.192771084337
GA,0.0729,0.0,0.0,12345.679012345678
A*,0.0056,62.9451,65.4176,169285.7142857143
A*,0.0033,62.9451,65.4176,287272.7272727273
Dijkstra,0.0027,62.9451,65.4176,356296.2962962963
Dijkstra,0.0027,62.9451,65.4176,356296.2962962963
AD*,0.0133,62.9451,65.4176,62030.07518796993
AD*,0.014,62.9451,65.4176,58928.57142857143
AD*,0.0138,62.9451,65.4176,59782.608695652176
GA,0.5395,72.1632,77.2449,9267.840593141798
A*,0.0059,63.6967,66.545,164406.77966101695
Dijkstra,0.0027,63.6967,66.545,344444.44444444444
Dijkstra,0.0026,63.6967,66.545,357692.3076923077
Dijkstra,0.003,63.6967,66.545,310000.0
AD*,0.013,63.6967,66.545,62153.846153846156
AD*,0.0129,63.6967,66.545,62635.65891472868
GA,0.1352,232.1485,253.2228,6656.804733727811
GA,0.1271,134.3437,147.5156,7081.038552321008
